DATETIMEUTC,Unnamed:0,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,GLOBAL_CUSTOMER_ID,day,weekday,hour,minute,hist-1D8H,hist-1D4H,hist-1D2H,hist-1D1H,hist-1D,hist-1D15m,hist-1D30m,hist-1D45m
2017-04-04 20:30:00,3376.33333333,637.0,318.0,75494.6666667,2652160.0,2652160.0,178.666666667,0.0,0.0,0.0,,4,1,20,30,637.0,640.333333333,636.333333333,637.333333333,638.333333333,635.0,635.333333333,636.333333333
2017-04-04 20:45:00,3263.0,637.333333333,318.0,35416.6666667,2652160.0,2652160.0,83.3333333333,0.0,0.0,0.0,,4,1,20,45,636.0,638.666666667,634.333333333,636.333333333,638.0,638.333333333,635.0,635.333333333
2017-04-04 21:00:00,3294.33333333,637.0,318.0,27960.3333333,2652160.0,2652160.0,66.0,0.0,0.0,0.0,,4,1,21,0,638.333333333,637.666666667,636.666666667,635.333333333,640.666666667,638.0,638.333333333,635.0
2017-04-04 21:15:00,3294.66666667,632.666666667,315.333333333,54057.3333333,2652160.0,2652160.0,127.666666667,0.0,0.0,0.0,,4,1,21,15,634.333333333,639.0,637.666666667,635.0,638.333333333,640.666666667,638.0,638.333333333
2017-04-04 21:30:00,3311.66666667,634.0,316.333333333,38212.6666667,2652160.0,2652160.0,90.0,0.0,0.0,0.0,,4,1,21,30,635.0,638.666666667,637.333333333,638.333333333,639.333333333,638.333333333,640.666666667,638.0
2017-04-04 21:45:00,3301.66666667,634.0,316.333333333,28892.0,2652160.0,2652160.0,68.0,0.0,0.0,0.0,,4,1,21,45,635.333333333,635.666666667,636.333333333,638.0,638.666666667,639.333333333,638.333333333,640.666666667
2017-04-04 22:00:00,3387.66666667,636.0,317.0,45668.6666667,2652160.0,2652160.0,107.333333333,0.0,0.0,0.0,,4,1,22,0,632.666666667,637.333333333,635.333333333,640.666666667,636.0,638.666666667,639.333333333,638.333333333
2017-04-04 22:15:00,3217.0,635.666666667,317.333333333,81087.6666667,2652160.0,2652160.0,192.0,0.0,0.0,0.0,,4,1,22,15,636.666666667,637.333333333,635.0,638.333333333,638.333333333,636.0,638.666666667,639.333333333
2017-04-04 22:30:00,3300.66666667,636.666666667,317.333333333,60581.6666667,2652160.0,2652160.0,143.0,0.0,0.0,0.0,,4,1,22,30,634.666666667,636.333333333,638.333333333,639.333333333,639.0,638.333333333,636.0,638.666666667
2017-04-04 22:45:00,3292.0,631.666666667,315.0,26096.3333333,2652160.0,2652160.0,61.3333333333,0.0,0.0,0.0,,4,1,22,45,639.333333333,634.333333333,638.0,638.666666667,641.0,639.0,638.333333333,636.0
