DATETIMEUTC,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,VM_ID,day,weekday,hour,minute,hist_1D8H,hist_1D4H,hist_1D2H,hist_1D1H,hist_1D,hist_1D15m,hist_1D30m,hist_1D45m
3/15/17 1:00,642.6666667,320.6666667,82019.66667,2574336,2574336,194.3333333,0,0,0,1,15,2,1,0,643.6666667,645.6666667,642,643.3333333,641.6666667,643.3333333,644,644.3333333
3/15/17 1:15,643.3333333,320.6666667,36348,2574336,2574336,85.66666667,0,0,0,1,15,2,1,15,642.6666667,642.6666667,640.3333333,644.3333333,641.6666667,641.6666667,643.3333333,644
3/15/17 1:30,642.3333333,320.6666667,33552.66667,2574336,2574336,79,0,0,0,1,15,2,1,30,645.3333333,645.6666667,643.3333333,644,643,641.6666667,641.6666667,643.3333333
3/15/17 1:45,643.6666667,321,39144,2574336,2574336,92.33333333,0,0,0,1,15,2,1,45,644.3333333,643.3333333,643.6666667,643.3333333,640,643,641.6666667,641.6666667
3/15/17 2:00,645.3333333,322,36348.66667,2574336,2574336,85.66666667,0,0,0,1,15,2,2,0,646.3333333,644,643.3333333,641.6666667,642.3333333,640,643,641.6666667
3/15/17 2:15,641.6666667,320,58717.66667,2574336,2574336,139,0,0,0,1,15,2,2,15,647.6666667,645.3333333,644.3333333,641.6666667,643.3333333,642.3333333,640,643
3/15/17 2:30,644,321,46134.5,2574336,2574336,112.3333333,0,0,0,1,15,2,2,30,645.3333333,644.3333333,644,643,644.3333333,643.3333333,642.3333333,640
3/15/17 2:45,644.6666667,321.6666667,50329,2574336,2574336,119,0,0,0,1,15,2,2,45,644.6666667,644.6666667,643.3333333,640,641,644.3333333,643.3333333,642.3333333
3/15/17 3:00,644,321.3333333,55921.33333,2574336,2574336,132.3333333,0,0,0,1,15,2,3,0,644.6666667,642,641.6666667,642.3333333,640,641,644.3333333,643.3333333
3/15/17 3:15,643.3333333,321,41940.66667,2574336,2574336,99,0,0,0,1,15,2,3,15,643.3333333,640.3333333,641.6666667,643.3333333,642,640,641,644.3333333
3/15/17 3:30,646.3333333,322.6666667,61514.66667,2574882,2574882,145.6666667,0,0,0,1,15,2,3,30,644,643.3333333,643,644.3333333,643,642,640,641
